id;nome;imagem_path;is_figura;legenda;instrumento_id;historia_id
142;ampopt08;data/images/fotos/optica/ampopt08.jpg;false;null;117;null
143;ampopt09;data/images/fotos/optica/ampopt09.jpg;false;null;118;null
144;ampopt10;data/images/fotos/optica/ampopt10.jpg;false;null;119;null
145;ampopt11;data/images/fotos/optica/ampopt11.jpg;false;null;120;null
146;ampopt12;data/images/fotos/optica/ampopt12.jpg;false;null;121;null
147;ampopt13_I;data/images/fotos/optica/ampopt13_I.jpg;false;null;122;null
148;ampopt13_II;data/images/fotos/optica/ampopt13_II.jpg;false;null;122;null

149;francisco_fonseca_benevides;data/images/fotos/historias/FFB.jpg;false;null;null;2


150;acu01_F01;data/images/fotos/acustica/acu01_F01.jpg;true;"Fig. 422 de F. J. Sousa Gomes, Álvaro R. Machado, <i>Elementos de Física Descritiva</i>, 6ª edição, Livraria Cruz-Editora, Braga, 1918.";2;null
151;acu01_F02;data/images/fotos/acustica/acu01_F02.jpg;true;"Fig. 423 de F. J. Sousa Gomes, Álvaro R. Machado, <i>Elementos de Física Descritiva</i>, 6ª edição, Livraria Cruz-Editora, Braga, 1918.";2;null
152;acu02_F01;data/images/fotos/acustica/acu02_F01.jpg;true;"Fig. 370 do catálogo <i>Les Fils d’Emile Deyrolle </i>, Paris. ";1;null

153;bar01_F01;data/images/fotos/calor-termo/2-barometros/bar01_F01.jpg;true;"Fig. 4 de Amorim Ferreira, <i>Trabalhos Práticos de Física</i>, Livraria Sá da Costa, Lisboa 1936.";3;null
154;bar02_F01;data/images/fotos/calor-termo/2-barometros/bar02_F01.jpg;true;"Fig.176 do catálogo <i>Les Fils d’Émile Deyrolle</i>, Paris";4;null
155;bar03_F01;data/images/fotos/calor-termo/2-barometros/bar03_F01.jpg;true;"Fig. 202 de F. J. Sousa Gomes, Álvaro R. Machado, <i>Elementos de Física Descritiva</i>¸ Livraria Cruz – Editora, Braga 1918.";5;null

156;ter01_F01;data/images/fotos/calor-termo/4-termometros/ter01_F01.jpg;true;"Fig. 512 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 21<sup>ére</sup> édition, Librairie Hachette et Cie, Paris, 1894.";7;null
157;ter01_F02;data/images/fotos/calor-termo/4-termometros/ter01_F02.jpg;true;"Fig. 514 de A. Ganot, G. Maneuvrier, <i>Traité Élémentaire de Physique</i>, 21<sup>ére</sup> édition, Librairie Hachette et Cie, Paris, 1894.";7;null
158;ter02_F01;data/images/fotos/calor-termo/4-termometros/ter02_F01.jpg;true;"Fig. 274 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Typographia da Academia Real das Sciências, Lisboa 1880.";8;null
159;ter03_F01;data/images/fotos/calor-termo/4-termometros/ter03_F01.jpg;true;"Fig. 273 de F. Fonseca Benevides, <i>Noções de Physica Moderna</i>, Typographia da Academia Real das Sciências, Lisboa 1880.";9;null
